Date,Time,Ch0,Ch1,Ch2,Ch3,
02-08-2023, 10:30:57,Vend,r,,,
02-08-2023, 10:30:58,Vend,r,,,
02-08-2023, 10:30:59,Vend,r,,,
02-08-2023, 10:31:00,Vend,r,,,
02-08-2023, 10:31:01,Vend,r,,,
02-08-2023, 10:31:02,Vend,r,,,
02-08-2023, 10:31:03,Vend,r,,,
02-08-2023, 10:31:04,Vend,r,,,
02-08-2023, 10:31:05,Vend,r,,,
02-08-2023, 10:31:06,Vend,r,,,
02-08-2023, 10:31:07,Vend,r,,,
02-08-2023, 10:31:08,Vend,r,,,
02-08-2023, 10:31:09,Vend,r,,,
02-08-2023, 10:31:10,Vend,r,,,
02-08-2023, 10:31:11,Vend,r,,,
02-08-2023, 10:31:12,Vend,r,,,
02-08-2023, 10:31:13,Vend,r,,,
02-08-2023, 10:31:14,Vend,r,,,
02-08-2023, 10:33:04,1412,1401,1298,1530,
02-08-2023, 10:33:05,1385,1375,1287,1520,
02-08-2023, 10:33:06,1390,1347,1297,1520,
02-08-2023, 10:33:07,1386,1372,1278,1512,
02-08-2023, 10:33:08,1380,1357,1271,1502,
02-08-2023, 10:33:09,1383,1364,1274,1500,
02-08-2023, 10:33:10,1386,1361,1289,1512,
02-08-2023, 10:33:11,1392,1346,1276,1519,
02-08-2023, 10:33:12,1387,1379,1291,1520,
02-08-2023, 10:33:13,1387,1374,1276,1513,
02-08-2023, 10:33:14,1403,1395,1304,1539,
02-08-2023, 10:33:15,1409,1394,1312,1546,
02-08-2023, 10:33:16,1422,1400,1313,1560,
02-08-2023, 10:33:17,1420,1407,1323,1563,
02-08-2023, 10:33:18,1428,1422,1318,1555,
02-08-2023, 10:33:19,1408,1376,1320,1546,
02-08-2023, 10:33:20,1322,1401,1306,1544,
02-08-2023, 10:33:21,1416,1284,1289,1551,
02-08-2023, 10:33:22,1406,1380,1225,1527,
02-08-2023, 10:33:23,1385,1386,1291,1528,
02-08-2023, 10:33:24,1369,1329,1275,1512,
02-08-2023, 10:39:13,1386,1422,1279,1491,
02-08-2023, 10:39:14,1395,1419,1280,1492,
02-08-2023, 10:39:15,1379,1422,1280,1495,
02-08-2023, 10:39:16,1391,1434,1298,1492,
02-08-2023, 10:39:17,1389,1446,1279,1494,
02-08-2023, 10:39:18,1394,1417,1289,1488,
02-08-2023, 10:39:19,1390,1309,1275,1492,
02-08-2023, 10:39:20,1394,1417,1271,1500,
02-08-2023, 10:39:21,1472,1512,1370,1590,
02-08-2023, 10:39:22,1387,1419,1281,1492,
02-08-2023, 10:39:23,1391,1395,1275,1473,
02-08-2023, 10:39:24,1384,1422,1268,1492,
02-08-2023, 10:39:25,1380,1435,1292,1484,
02-08-2023, 10:39:26,1381,1407,1258,1406,
02-08-2023, 10:39:27,1370,1411,1264,1466,
02-08-2023, 10:39:28,1378,1369,1246,1472,
02-08-2023, 10:39:29,1378,1397,1257,1464,
02-08-2023, 10:39:30,1369,1418,1271,1462,
02-08-2023, 10:39:31,1390,1416,1185,1470,
02-08-2023, 10:39:32,1378,1424,1268,1481,
02-08-2023, 10:39:33,1381,1428,1287,1484,
02-08-2023, 10:39:34,1398,1424,1279,1491,
02-08-2023, 10:39:35,1396,1451,1290,1495,
02-08-2023, 10:39:36,1386,1445,1303,1499,
02-08-2023, 10:39:37,1390,1439,1289,1505,
02-08-2023, 10:39:38,1386,1435,1298,1506,
02-08-2023, 10:39:39,1402,1436,1285,1505,
02-08-2023, 10:39:40,1385,1455,1286,1491,
02-08-2023, 10:39:41,1408,1440,1285,1491,
02-08-2023, 10:39:42,1385,1429,1276,1513,
02-08-2023, 10:39:43,1363,1398,1265,1479,
02-08-2023, 10:39:44,1376,1385,1273,1473,
02-08-2023, 10:39:45,1403,1407,1260,1413,
02-08-2023, 10:39:46,1373,1383,1269,1468,
02-08-2023, 10:39:47,1359,1363,1256,1463,
02-08-2023, 10:39:48,1370,1357,1242,1455,
02-08-2023, 10:39:49,1367,1409,1257,1462,
02-08-2023, 10:39:50,1374,1424,1184,1469,
02-08-2023, 10:39:51,1376,1397,1267,1485,
02-08-2023, 10:39:52,1386,1435,1280,1484,
02-08-2023, 10:39:53,1387,1422,1291,1486,
02-08-2023, 10:39:54,1414,1431,1281,1492,
02-08-2023, 10:39:55,1389,1427,1280,1492,
02-08-2023, 10:39:56,1389,1430,1275,1500,
02-08-2023, 10:39:57,1391,1414,1285,1491,
02-08-2023, 10:39:58,1401,1413,1278,1488,
02-08-2023, 10:39:59,1402,1435,1285,1507,
02-08-2023, 10:40:00,1385,1433,1278,1490,
